"accountName","viewID","accountId","webPropertyId","internalWebPropertyId","viewName","timezone","websiteUrl","siteSearchQueryParameters","stripSiteSearchQueryParameters","created","updated","botFilteringEnabled"
"NWIS-RA","136199782","50379402","UA-50379402-1","82341003","Discrete TR1","America/Los_Angeles","https://nwisdata.usgs.gov",NA,NA,2016-12-16 17:13:04,2016-12-16 17:14:50,NA
"NWIS-RA","136199898","50379402","UA-50379402-1","82341003","Datachecks DEV","America/Denver","https://nwisdata.usgs.gov",NA,NA,2016-12-16 15:36:35,2016-12-16 17:10:13,FALSE
"NWIS-RA","136206385","50379402","UA-50379402-1","82341003","Datachecks QA","America/Denver","https://nwisdata.usgs.gov",NA,NA,2016-12-16 15:37:04,2016-12-16 17:34:25,NA
"NWIS-RA","136210485","50379402","UA-50379402-1","82341003","Discrete DEV","America/Denver","https://nwisdata.usgs.gov",NA,NA,2016-12-16 15:18:49,2016-12-16 16:27:24,FALSE
"NWIS-RA","136216684","50379402","UA-50379402-1","82341003","TS PROD","America/Denver","https://nwisdata.usgs.gov",NA,NA,2016-12-16 15:32:04,2016-12-16 17:22:06,NA
"NWIS-RA","136216685","50379402","UA-50379402-1","82341003","TS TR2","America/Denver","https://nwisdata.usgs.gov",NA,NA,2016-12-16 15:36:07,2016-12-16 17:36:47,NA
"NWIS-RA","136221691","50379402","UA-50379402-1","82341003","Datachecks PROD","America/Denver","https://nwisdata.usgs.gov",NA,NA,2016-12-16 15:37:32,2016-12-16 17:11:31,NA
"NWIS-RA","136221976","50379402","UA-50379402-1","82341003","TS TR1","America/Denver","https://nwisdata.usgs.gov",NA,NA,2016-12-16 15:35:48,2016-12-16 17:36:38,NA
"CIDA_Website","85293745","50382493","UA-50382493-1","82375136","All Web Site Data","America/Chicago","http://cida.usgs.gov/",NA,NA,2014-04-25 17:11:59,2014-04-25 17:11:59,NA
"USGS GLRI","85375585","50454186","UA-50454186-1","82455211","GLRI - No Internal Traffic","America/Chicago","http://cida.usgs.gov/glri/glri-catalog",NA,NA,2014-04-28 16:05:53,2015-03-03 23:16:10,FALSE
"USGS GLRI","98563485","50454186","UA-50454186-1","82455211","GLRI w/ Internal Traffic","America/Chicago","http://cida.usgs.gov/glri/",NA,NA,2015-02-27 17:39:56,2015-03-03 23:17:08,FALSE
"USGS GLRI","96687807","50454186","UA-50454186-3","92825297","GLRI AFINCH - No Internal Traffic","America/Chicago","http://cida.usgs.gov/glri/afinch",NA,NA,2015-01-21 21:09:01,2015-02-27 17:42:28,FALSE
"USGS GLRI","98563089","50454186","UA-50454186-3","92825297","GLRI AFINCH w/ Internal Traffic","America/Chicago","http://cida.usgs.gov/glri/afinch",NA,NA,2015-02-27 17:38:45,2015-02-27 17:42:10,FALSE
"National Water Census","86002663","50928997","UA-50928997-1","83038855","All Web Site Data","America/Chicago","http://cida.usgs.gov/nwc",NA,NA,2014-05-13 14:54:33,2014-05-13 14:54:33,NA
"WARP Map Public","88377604","52690803","UA-52690803-1","85238605","All Web Site Data","America/Chicago","http://cida.usgs.gov/WARP",NA,NA,2014-07-09 19:10:08,2014-07-09 19:10:08,NA
"USGS-R","89823892","53797708","UA-53797708-1","86567774","All Web Site Data","America/Chicago","http://usgs-r.github.io/Welcome",NA,NA,2014-08-13 16:10:44,2014-08-13 16:10:44,NA
"USGS-R","89823179","53797708","UA-53797708-2","86568958","All Web Site Data","America/Chicago","http://usgs-r.github.io/EGRET",NA,NA,2014-08-13 16:26:13,2014-08-13 16:26:13,NA
"USGS-R","89827157","53797708","UA-53797708-3","86570661","All Web Site Data","America/Chicago","http://usgs-r.github.io/dataRetrieval",NA,NA,2014-08-13 16:33:49,2014-08-13 16:33:49,NA
